NU,Gecon_ID,newid,NUtS_country,latitude,longitude,cellid,pop90,pop95,pop00,pop05,gdp_PPP90,gdp_PPP95,gdp_PPP00,gdp_PPP05,GCP_MER90,GCP_MER95,GCP_MER00,GCP_MER05
GR,300,40022300,Greece,40.5,22.5,40022,1279756.089,1343700.561,1378276.955,1394947.009,15196.40806,14614.75362,15382.37157,17323.93524,12634.95481,12421.06895,12952.94652,14471.4341
GR,300,40023300,Greece,40.5,23.5,40023,240485.7867,252662.2245,259319.6036,262592.7116,2962.066109,2902.446839,3030.948724,3545.380745,2462.790633,2466.787551,2552.253828,2961.610229
GR,300,40024300,Greece,40.5,24.5,40024,110668.5708,116027.9589,118842.9678,120108.7054,1334.146303,1242.491421,1170.058971,1378.638647,1109.26728,1055.992595,985.2649319,1151.636626
GR,300,40025300,Greece,40.5,25.5,40025,53755.49318,54574.48552,54121.71348,52958.52607,431.4472847,432.5147482,506.5600727,553.6026669,358.7240434,367.5939839,426.5561718,462.4483064
GR,300,40026300,Greece,40.5,26.5,40026,13918.91626,14132.28011,14019.63077,13721.53952,119.239076,120.4777321,144.6568398,156.7921805,99.14055545,102.3939408,121.8103659,130.9753053
GR,300,41021300,Greece,41.5,21.5,41021,3419.826192,3587.011912,3677.34175,3721.018415,40.07970617,35.7842729,33.79335194,36.40518506,33.32401144,30.41302867,28.4561765,30.41082925
GR,300,41022300,Greece,41.5,22.5,41022,45647.01459,47909.51013,49154.72745,49758.08782,478.5132766,460.9319205,490.6118357,553.1694453,397.8567567,391.7457189,413.1267302,462.0864176
GR,300,41023300,Greece,41.5,23.5,41023,150405.3448,157766.7827,161659.7811,163558.2038,1406.971693,1315.955461,1363.914785,1470.307027,1169.817479,1118.429632,1148.503999,1228.211198
GR,300,41024300,Greece,41.5,24.5,41024,189134.3375,196004.0896,198469.2551,198422.9412,2069.5277,1890.69782,1809.976993,2039.993344,1720.695368,1606.902764,1524.117077,1704.094874
GR,300,41025300,Greece,41.5,25.5,41025,138889.5426,140810.0394,139455.8354,136346.0185,1074.991043,1063.51511,1199.297591,1324.958233,893.7943222,903.8807525,1009.885731,1106.795049
GR,300,41026300,Greece,41.5,26.5,41026,83968.57719,85167.34766,84401.66387,82542.75912,719.3329832,726.0519046,870.8701511,943.1929385,598.084738,617.0710092,733.3286964,787.889949
